date,relL_max,relP_max,L_hits,slot_frac,eps,is_emergency_day,P_hits
2025-01-01,0.0,0.0,0,0.0,0.2491991318422983,True,0
2025-01-02,0.21034436118700453,1.2531645569620251,0,0.0,-0.012868859401818757,False,0
2025-01-03,0.5399257668523303,1.0926640926640925,112,0.7777777777777778,-0.5022033217148928,False,0
2025-01-04,0.5518262039491908,1.3559322033898304,106,0.7361111111111112,-0.3995153132310215,False,0
2025-01-05,0.4167188414602118,1.2100456621004567,65,0.4513888888888889,0.3491460306172039,True,0
2025-01-06,0.09647101270679355,1.6884615384615382,0,0.0,0.23990037411424336,True,0
2025-01-07,0.09206269252351142,1.714975845410628,0,0.0,0.2473133433779398,True,0
2025-01-08,0.12604585412579,1.836565096952909,0,0.0,0.06660709097635067,False,0
2025-01-09,0.11784091555143397,1.7431952662721895,0,0.0,0.1556334874310927,False,0
2025-01-10,0.16450679321132228,2.3963133640552994,0,0.0,-0.4698478177804215,False,0
2025-01-11,0.15710013944272522,1.9356388088376564,0,0.0,-0.412932234813843,False,0
2025-01-12,0.09116148373679069,2202600.0,0,0.0,0.20022739212369198,True,0
2025-01-13,0.10149826420610278,4693000.0,0,0.0,0.14516467569290423,False,0
2025-01-14,0.12903514877067424,5907900.0,0,0.0,0.1678636452394788,False,0
2025-01-15,0.0847629526108459,8996800.0,0,0.0,0.2140658675022598,True,0
2025-01-16,0.10723337394824496,13517599.999999998,0,0.0,0.1944891844321544,False,0
2025-01-17,0.18593524740731215,16435400.000000002,0,0.0,-0.44589714479348225,False,0
2025-01-18,0.1380894774047325,21555400.0,0,0.0,-0.44077771214736167,False,0
2025-01-19,0.11554735282824455,23482000.0,0,0.0,0.24924583007977347,True,0
2025-01-20,0.08857097292727781,1521200.0000000002,0,0.0,0.18572792911907593,False,0
2025-01-21,0.10007320812623717,1492800.0,0,0.0,0.12064532022907472,False,0
2025-01-22,0.10166596251052436,132700.00000000003,0,0.0,0.14434259476485478,False,0
2025-01-23,0.09812671660116667,4.75,0,0.0,0.19985865426645127,False,0
2025-01-24,0.14811340191014383,2.8879668049792535,0,0.0,-0.44544083122772576,False,0
2025-01-25,0.12592367475721525,1100.0000000000002,0,0.0,-0.4340008025306442,False,0
2025-01-26,0.10837101080343406,1100.0000000000002,0,0.0,0.1277835497361347,False,0
2025-01-27,0.08509666563858581,1300.0,0,0.0,0.1956835450374799,False,0
2025-01-28,0.09487380954312964,1500.0,0,0.0,0.1394553919960909,False,0
2025-01-29,0.08389121338912123,1700.0,0,0.0,0.17947548329896187,False,0
